OTU_id	F14RhizoFungi.2p.A1	F14RhizoFungi.2p.C2	F14RhizoFungi.2p.C4	F14RhizoFungi.2p.D3	F14RhizoFungi.H8	F14RhizoFungi.H9	F14Group.Rhizo108	F14Group.Rhizo99	F14RhizoFungi.G10	F14RhizoFungi.H3	F15RhizoFungi.2p.B1	F15RhizoFungi.2p.C2	F15RhizoFungi.2p.A1	F15RhizoFungi.2p.B5	F15RhizoFungi.2p.D3	F15RhizoFungi.H8	F15Group.Rhizo111	F15Group.Rhizo108	F15RhizoFungi.G10	F15RhizoFungi.G5
Otu00274	0	0	0	11	0	0	0	0	0	30	1	0	0	0	11	73	0	0	0	0
Otu00275	0	0	3	1	167	3	0	0	0	0	62	0	0	0	19	13	0	0	0	0
Otu00276	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0
Otu00277	1	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0
Otu00278	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	8	0	0	0	0
Otu00280	0	1	1	3	0	0	0	0	0	4	20	6	5	32	23	5	6	1	8	18
Otu00282	0	3	0	2	3	2	0	5	0	0	0	0	0	0	0	4	0	23	0	12
Otu00283	0	0	0	0	0	0	0	1	1	18	2	0	0	0	0	1	1	0	0	2
Otu00284	0	0	1	0	0	1	1	0	0	0	14	27	1	24	8	5	0	0	0	0
Otu00285	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0
Otu00286	0	0	6	3	7	0	0	0	0	0	0	1	0	0	8	1	0	0	0	0
Otu00287	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	79
Otu00288	0	1	1	0	0	0	0	0	0	12	2	0	4	10	0	3	0	0	0	0
Otu00289	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Otu00290	0	0	0	24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Otu00291	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15	1
