OTU_id	F14RootFungi.2p.A2	F14RootFungi.2p.B1	F14RootFungi.2p.B5	F14RootFungi.2p.B6	F14RootFungi.2p.D4	F14RootFungi.H12	F14RootFungi.G8	F14RootFungi.G4	F14RootFungi.G2	F14RootFungi.G5	F15RootFungi.2p.A2	F15RootFungi.2p.B6	F15RootFungi.2p.C5	F15RootFungi.2p.C3	F15RootFungi.2p.D2	F15RootFungi.2p.C4	F15Group.Root131	F15Group.Root99	F15RootFungi.G3	F15RootFungi.G8
Otu01567	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0
Otu01581	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0
Otu01590	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0
Otu01610	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0
Otu01634	0	0	0	0	0	1	0	0	0	0	2	0	0	2	0	0	0	0	0	0
Otu01641	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0
Otu01669	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0
Otu01675	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0
Otu01677	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18	0	0
Otu01685	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	2	0	0	0
Otu01686	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0
Otu01688	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	21	0	0	0
Otu01697	0	0	0	0	0	0	0	0	0	0	0	0	0	0	22	0	0	0	0	0
Otu01702	0	0	0	0	0	1	0	0	0	3	0	0	0	0	0	0	0	0	8	0
Otu01705	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8
Otu01737	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0
Otu01746	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0
Otu01749	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0
Otu01754	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0
Otu01757	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0
Otu01763	0	0	3	1	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
Otu01770	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Otu01779	0	0	0	1	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0
Otu01797	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	4	0	0	0
Otu01812	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Otu01828	0	0	0	0	0	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Otu01831	0	0	0	0	0	0	0	0	0	0	9	0	0	4	0	0	0	0	0	0
Otu01839	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0
Otu01845	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0
Otu01852	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0
Otu01919	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0
Otu01921	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0
Otu01925	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1
Otu01930	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0
Otu01939	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0
Otu01943	0	0	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0
Otu01947	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0
Otu01966	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	0
Otu01970	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0
Otu01974	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0
Otu01981	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Otu02004	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0
Otu02029	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15	0	0	0	0
Otu02033	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0
Otu02063	0	1	0	0	3	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Otu02072	0	0	0	0	2	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0
Otu02088	0	0	0	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0
Otu02097	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
Otu02104	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0
Otu02123	0	0	0	0	0	0	0	0	0	0	2	0	0	3	3	0	0	0	0	0
Otu02146	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0
Otu02155	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0
Otu02173	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	1	4
Otu02174	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	2	0	0	1
Otu02177	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0
Otu02184	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	1	0	0	0	0
Otu02187	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0
Otu02231	0	0	0	0	0	0	1	7	0	0	0	0	0	0	0	0	0	0	1	0
Otu02240	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0
Otu02246	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0
Otu02263	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9
Otu02265	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0
Otu02270	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0
Otu02313	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0
Otu02344	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0
Otu02365	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0
Otu02373	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0
Otu02388	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0
Otu02405	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Otu02415	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0
Otu02419	0	0	0	0	0	0	0	0	0	0	3	0	0	3	0	0	0	0	0	0
Otu02421	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0
Otu02436	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7
Otu02438	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0
Otu02443	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0
Otu02450	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	1
Otu02468	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0
Otu02469	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0
Otu02474	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0
Otu02481	0	0	0	0	0	0	0	2	0	0	0	0	0	0	1	0	0	0	1	0
Otu02499	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0
Otu02510	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0
Otu02537	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	2	0	0	0
Otu02541	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0
Otu02547	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0
Otu02560	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9
Otu02564	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	0	0	0
Otu02570	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	1
Otu02592	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0
Otu02598	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0
Otu02613	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Otu02622	0	0	0	0	1	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0
Otu02625	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0
Otu02637	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0
Otu02638	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0
Otu02669	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	2
Otu02682	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	1	0
Otu02699	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Otu02703	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0
Otu02769	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0
Otu02782	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Otu02791	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0
Otu02837	0	0	1	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0
Otu02917	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0
Otu02929	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Otu02963	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0
Otu03048	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Otu03068	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0
Otu03089	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0
Otu03141	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0
Otu03154	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Otu03163	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Otu03166	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2
Otu03179	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	4	0	0
Otu03181	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Otu03267	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	1	0	0
Otu03287	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0
Otu03298	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0
Otu03328	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0
Otu03332	0	0	0	0	0	0	0	0	0	0	2	0	0	1	0	0	0	0	0	0
Otu03397	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	1	0	0
Otu03429	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Otu03452	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Otu03470	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0
Otu03560	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0
Otu03588	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0
Otu03599	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0
Otu03615	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Otu03663	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0
Otu03767	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	3	0	0
Otu03810	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0
Otu03827	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0
Otu03847	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0
Otu03853	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Otu03872	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0
Otu03886	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0
Otu03924	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0
Otu03970	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Otu03982	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0
Otu04126	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Otu04218	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0
Otu04316	0	0	0	0	0	0	0	2	0	0	0	0	0	1	0	0	0	0	0	0
Otu04341	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	1	0	0
Otu04342	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	2	0	0
