"","Count","Kingdom","Phylum","Class","Order","Family","Genus","Species","name","module","connectivity","participation","role","Compartment","Rootstock"
"Otu001692","1544","k__Fungi","p__Basidiomycota","c__Agaricomycetes","c__Agaricomycetes_unclassified","c__Agaricomycetes_unclassified","c__Agaricomycetes_unclassified",NA,"Otu00169",20,3.5840315168285e-16,0,"Peripheral","Rhizosphere","RST-04-106"
"Otu0000421","87928","k__Fungi","p__Ascomycota","c__Pezizomycetes","o__Pezizales","o__Pezizales_unclassified","o__Pezizales_unclassified",NA,"Otu00004",20,3.5840315168285e-16,0.444444444444445,"Peripheral","Rhizosphere","RST-04-106"
"Otu000451","6735","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Microascales","f__unclassified_Microascales","g__unclassified_Microascales","s__Microascales_sp","Otu00045",20,3.5840315168285e-16,0.444444444444445,"Peripheral","Rhizosphere","RST-04-106"
"Otu000982","2955","k__Fungi","p__Basidiomycota","c__Tremellomycetes","o__Tremellales","f__Tremellales_family_Incertae_sedis","g__Cryptococcus","s__Cryptococcus_magnus","Otu00098",20,3.5840315168285e-16,0.444444444444445,"Peripheral","Rhizosphere","RST-04-106"
"Otu001071","2610","k__Fungi","p__Basidiomycota","c__Microbotryomycetes","o__Sporidiobolales","f__Sporidiobolales_family_Incertae_sedis","g__Rhodotorula","s__Rhodotorula_slooffiae","Otu00107",20,2.08166599946613,0.444444444444445,"Peripheral","Rhizosphere","RST-04-106"
"Otu000142","32499","k__Fungi","p__Basidiomycota","c__Tremellomycetes","o__Tremellales","f__Tremellales_family_Incertae_sedis","g__Cryptococcus","s__Cryptococcus_magnus","Otu00014",20,2.08166599946613,0.625,"Connector","Rhizosphere","RST-04-106"
"Otu001102","2386","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Hypocreales","f__Nectriaceae","g__Fusarium","s__Fusarium_proliferatum","Otu00110",21,0,0,"Peripheral","Rhizosphere","RST-04-106"
"Otu001122","2370","k__Fungi","p__Ascomycota","c__Saccharomycetes","o__Saccharomycetales","f__Trichomonascaceae","g__Blastobotrys","s__Blastobotrys_mokoenaii","Otu00112",21,0,0,"Peripheral","Rhizosphere","RST-04-106"
"Otu000364","8801","k__Fungi","k__Fungi_unclassified","k__Fungi_unclassified","k__Fungi_unclassified","k__Fungi_unclassified","k__Fungi_unclassified",NA,"Otu00036",22,-1.09190999365954,0,"Peripheral","Rhizosphere","RST-04-106"
"Otu0004421","6815","k__Protista","p__Cercozoa","c__unclassified_Cercozoa","o__unclassified_Cercozoa","f__unclassified_Cercozoa","g__unclassified_Cercozoa","s__Cercozoa_sp","Otu00044",22,-1.09190999365954,0,"Peripheral","Rhizosphere","RST-04-106"
"Otu003491","433","k__Fungi","k__Fungi_unclassified","k__Fungi_unclassified","k__Fungi_unclassified","k__Fungi_unclassified","k__Fungi_unclassified",NA,"Otu00349",22,-1.09190999365954,0,"Peripheral","Rhizosphere","RST-04-106"
"Otu00607","159","k__Fungi","p__Basidiomycota","p__Basidiomycota_unclassified","p__Basidiomycota_unclassified","p__Basidiomycota_unclassified","p__Basidiomycota_unclassified",NA,"Otu00607",22,-1.09190999365954,0,"Peripheral","Rhizosphere","RST-04-106"
"Otu00879","77","k__Fungi","p__Rozellomycota","c__unclassified_Rozellomycota","o__unclassified_Rozellomycota","f__unclassified_Rozellomycota","g__unclassified_Rozellomycota","s__Rozellomycota_sp","Otu00879",22,-1.09190999365954,0,"Peripheral","Rhizosphere","RST-04-106"
"Otu0000521","81978","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__Pleosporaceae","g__Alternaria","s__Alternaria_porri","Otu00005",22,-0.841175106226605,0,"Peripheral","Rhizosphere","RST-04-106"
"Otu0003321","9727","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__Pleosporaceae","g__Alternaria","s__Alternaria_porri","Otu00033",22,-0.841175106226605,0,"Peripheral","Rhizosphere","RST-04-106"
"Otu00093","3193","k__Fungi","p__Zygomycota","c__Zygomycota_class_Incertae_sedis","o__Mortierellales","f__Mortierellaceae","g__Mortierella","s__Mortierella_amoeboidea","Otu00093",22,-0.841175106226605,0,"Peripheral","Rhizosphere","RST-04-106"
"Otu003451","446","k__Fungi","p__Basidiomycota","c__Agaricomycetes","c__Agaricomycetes_unclassified","c__Agaricomycetes_unclassified","c__Agaricomycetes_unclassified",NA,"Otu00345",22,-0.841175106226605,0,"Peripheral","Rhizosphere","RST-04-106"
"Otu004341","299","k__Fungi","k__Fungi_unclassified","k__Fungi_unclassified","k__Fungi_unclassified","k__Fungi_unclassified","k__Fungi_unclassified",NA,"Otu00434",22,-0.841175106226605,0,"Peripheral","Rhizosphere","RST-04-106"
"Otu0003121","10430","k__Fungi","p__Ascomycota","p__Ascomycota_unclassified","p__Ascomycota_unclassified","p__Ascomycota_unclassified","p__Ascomycota_unclassified",NA,"Otu00031",22,-0.841175106226605,0.444444444444445,"Peripheral","Rhizosphere","RST-04-106"
"Otu001733","1387","k__Fungi","p__Glomeromycota","c__Glomeromycetes","o__Glomerales","f__Glomeraceae","g__Rhizophagus","s__Rhizophagus_fasciculatus","Otu00173",22,-0.590440218793674,0,"Peripheral","Rhizosphere","RST-04-106"
"Otu002751","701","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__Sporormiaceae","g__Preussia","s__Preussia_flanaganii","Otu00275",22,-0.590440218793674,0,"Peripheral","Rhizosphere","RST-04-106"
"Otu000832","3709","k__Fungi","p__Basidiomycota","c__Microbotryomycetes","o__Sporidiobolales","f__Sporidiobolales_family_Incertae_sedis","g__Rhodotorula","s__Rhodotorula_taiwanensis","Otu00083",22,-0.339705331360744,0,"Peripheral","Rhizosphere","RST-04-106"
"Otu002802","672","k__Protista","p__Cercozoa","c__unclassified_Cercozoa","o__unclassified_Cercozoa","f__unclassified_Cercozoa","g__unclassified_Cercozoa","s__Cercozoa_sp","Otu00280",22,-0.0889704439278141,0,"Peripheral","Rhizosphere","RST-04-106"
