,Plot ID,Study_site,Year,Rep,Rootstock,Total,Marketable,Total Number,Mkt Number,Avg Total,Avg Mkt,Per_Mkt_byWt,Per_Mkt_byNumber,Compartment,Sample_name
14RhizoFungi.2p.C5,D2,OHREC,2014,4,Nongraft,36.02,34.62,75.9,71.35,0.4746,0.4851,0.961,0.94,Rhizosphere,14RhizoFungi.2p.C5
14RhizoFungi.2p.D2,E2,OHREC,2014,5,Nongraft,34.89,31.86,74.45,66.12,0.4686,0.4819,0.913,0.888,Rhizosphere,14RhizoFungi.2p.D2
14RhizoFungi.H7,F2,OHREC,2014,6,Nongraft,34.47,30.36,69.03,61.03,0.4993,0.4974,0.881,0.884,Rhizosphere,14RhizoFungi.H7
14RhizoFungi.2p.A4,A6,OHREC,2014,1,RST-04-106,40.72,37.31,83.13,73.97,0.4898,0.5044,0.916,0.89,Rhizosphere,14RhizoFungi.2p.A4
14RhizoFungi.2p.A6,B6,OHREC,2014,2,RST-04-106,29.53,26.6,60.63,53.87,0.487,0.4939,0.901,0.888,Rhizosphere,14RhizoFungi.2p.A6
14RhizoFungi.2p.B3,C6,OHREC,2014,3,RST-04-106,32.73,29.53,70.58,62.88,0.4636,0.4696,0.902,0.891,Rhizosphere,14RhizoFungi.2p.B3
14RhizoFungi.2p.D1,D6,OHREC,2014,4,RST-04-106,44.59,38.94,92.78,81.68,0.4805,0.4767,0.873,0.88,Rhizosphere,14RhizoFungi.2p.D1
14RhizoFungi.2p.D6,E6,OHREC,2014,5,RST-04-106,28.87,25.64,59.67,52.9,0.4838,0.4846,0.888,0.887,Rhizosphere,14RhizoFungi.2p.D6
14RhizoFungi.H11,F6,OHREC,2014,6,RST-04-106,39.64,34.7,81.38,70.08,0.487,0.4951,0.875,0.861,Rhizosphere,14RhizoFungi.H11
14RhizoFungi.2p.A1,A3,OHREC,2014,1,Selfgraft,42.91,39.72,91.3,83.6,0.47,0.4751,0.926,0.916,Rhizosphere,14RhizoFungi.2p.A1
14RhizoFungi.2p.C2,B3,OHREC,2014,2,Selfgraft,34.91,32.91,75.77,71.27,0.4608,0.4617,0.942,0.941,Rhizosphere,14RhizoFungi.2p.C2
14RhizoFungi.2p.C4,C3,OHREC,2014,3,Selfgraft,30.2,27.08,63.65,56.1,0.4745,0.4826,0.896,0.881,Rhizosphere,14RhizoFungi.2p.C4
14RhizoFungi.2p.D3,D3,OHREC,2014,4,Selfgraft,32.77,30.73,69.6,64.05,0.4708,0.4797,0.938,0.92,Rhizosphere,14RhizoFungi.2p.D3
14RhizoFungi.H8,E3,OHREC,2014,5,Selfgraft,33.98,31,71.67,65.27,0.4741,0.475,0.912,0.911,Rhizosphere,14RhizoFungi.H8
14RhizoFungi.H9,F3,OHREC,2014,6,Selfgraft,39.83,35.13,81.27,72.52,0.4902,0.4844,0.882,0.892,Rhizosphere,14RhizoFungi.H9
15RhizoFungi.2p.A2,A4,OHREC,2015,1,Maxifort,24.36,17.96,57.33,42.1,0.42,0.43,0.7374,0.7343,Rhizosphere,15RhizoFungi.2p.A2
15RhizoFungi.2p.B6,B4,OHREC,2015,2,Maxifort,23.37,14.67,58.23,37.57,0.4,0.39,0.6278,0.6451,Rhizosphere,15RhizoFungi.2p.B6
15RhizoFungi.2p.C5,C4,OHREC,2015,3,Maxifort,24.38,18.58,58.53,43.77,0.42,0.42,0.7621,0.7477,Rhizosphere,15RhizoFungi.2p.C5
15RhizoFungi.2p.C3,D4,OHREC,2015,4,Maxifort,30.74,20.94,69.97,46.2,0.44,0.45,0.681,0.6603,Rhizosphere,15RhizoFungi.2p.C3
15RhizoFungi.2p.D2,E4,OHREC,2015,5,Maxifort,20.03,14.37,52.5,39.43,0.38,0.36,0.7173,0.7511,Rhizosphere,15RhizoFungi.2p.D2
15RhizoFungi.2p.C4,F4,OHREC,2015,6,Maxifort,20.24,14.85,46.83,35.33,0.43,0.42,0.7336,0.7544,Rhizosphere,15RhizoFungi.2p.C4
15RhizoFungi.2p.D4,A2,OHREC,2015,1,Nongraft,20.67,14.5,50.7,36.53,0.41,0.4,0.7016,0.7205,Rhizosphere,15RhizoFungi.2p.D4
15RhizoFungi.H9,B2,OHREC,2015,2,Nongraft,15.31,12.18,42.27,32.5,0.36,0.37,0.7958,0.7689,Rhizosphere,15RhizoFungi.H9
15RhizoFungi.2p.A5,C2,OHREC,2015,3,Nongraft,21.56,15.19,57.83,40.7,0.37,0.37,0.7046,0.7037,Rhizosphere,15RhizoFungi.2p.A5
15RhizoFungi.2p.B4,D2,OHREC,2015,4,Nongraft,23.07,15.85,58.03,40.33,0.4,0.39,0.687,0.6949,Rhizosphere,15RhizoFungi.2p.B4
15RhizoFungi.H12,E2,OHREC,2015,5,Nongraft,20.26,13.65,51.27,35.27,0.4,0.39,0.6738,0.688,Rhizosphere,15RhizoFungi.H12
15RhizoFungi.H7,F2,OHREC,2015,6,Nongraft,21.11,16.83,48.53,38.53,0.43,0.44,0.7972,0.7939,Rhizosphere,15RhizoFungi.H7
15RhizoFungi.2p.A4,A6,OHREC,2015,1,RST-04-106,22.39,14.92,55.03,37.93,0.41,0.39,0.6662,0.6893,Rhizosphere,15RhizoFungi.2p.A4
15RhizoFungi.2p.B3,B6,OHREC,2015,2,RST-04-106,18.94,14.33,57.57,34.5,0.33,0.42,0.7566,0.5993,Rhizosphere,15RhizoFungi.2p.B3
15RhizoFungi.2p.D1,C6,OHREC,2015,3,RST-04-106,25.12,18.65,63.33,46.8,0.4,0.4,0.7427,0.7389,Rhizosphere,15RhizoFungi.2p.D1
15RhizoFungi.2p.D6,D6,OHREC,2015,4,RST-04-106,22.59,15.7,55.77,39.23,0.4,0.4,0.6952,0.7035,Rhizosphere,15RhizoFungi.2p.D6
15RhizoFungi.H11,E6,OHREC,2015,5,RST-04-106,28.06,23.22,66.33,54.63,0.42,0.42,0.8275,0.8236,Rhizosphere,15RhizoFungi.H11
