OTU_id	F14RhizoFungi.2p.A4	F14RhizoFungi.2p.A6	F14RhizoFungi.2p.B3	F14RhizoFungi.2p.D1	F14RhizoFungi.2p.D6	F14RhizoFungi.H11	F14Group.Rhizo111	F14RhizoFungi.G12	F14RhizoFungi.G7	F14RhizoFungi.H5	F15RhizoFungi.2p.A4	F15RhizoFungi.2p.B3	F15RhizoFungi.2p.D1	F15RhizoFungi.2p.D6	F15RhizoFungi.H11	F15RhizoFungi.2p.A6	F15RhizoFungi.G12	F15RhizoFungi.G2	F15RhizoFungi.G7	F15RhizoFungi.H5
Otu00138	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	18	0	3	0
Otu00140	33	0	3	5	3	9	0	0	4	1	13	0	35	5	12	0	0	1	8	0
Otu00141	0	10	0	0	18	0	0	0	0	34	0	0	0	0	0	0	0	0	0	0
Otu00142	39	43	0	33	0	1	1	1	0	9	0	1	23	181	0	4	0	0	0	0
Otu00143	18	0	12	6	1	3	0	0	0	0	58	16	10	11	14	19	0	0	0	0
Otu00144	0	0	0	0	0	0	0	0	0	0	14	0	0	2	0	0	0	25	13	0
Otu00148	0	3	0	3	0	1	0	0	3	3	4	0	0	2	39	11	0	11	10	20
Otu00149	0	24	3	0	0	0	0	0	0	0	0	9	0	18	0	10	0	0	0	0
Otu00150	0	0	0	0	0	0	0	0	0	8	0	7	0	0	6	2	0	0	0	0
Otu00151	10	4	0	1	0	0	0	3	13	36	0	12	9	2	10	5	1	1	49	0
Otu00153	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	65
Otu00154	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	1	4	0
Otu00155	0	0	0	0	0	0	0	5	104	24	0	0	0	0	0	0	89	27	20	169
Otu00156	0	38	24	2	0	7	4	0	2	15	0	18	0	33	37	7	0	0	9	0
Otu00157	0	0	0	0	0	0	0	3	0	0	0	0	0	1	0	1	0	1	4	0
Otu00158	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	29	1	129	0
Otu00160	0	248	0	0	0	0	0	12	103	0	0	9	19	0	0	12	1	1	0	0
Otu00161	0	0	0	0	0	0	0	0	2	2	0	2	0	0	2	0	20	8	32	4
Otu00162	0	0	1	0	0	1	0	0	0	3	0	3	1	22	0	8	29	4	0	21
Otu00163	0	0	0	0	0	0	0	0	29	6	0	0	0	0	0	0	0	0	0	82
Otu00164	14	0	0	0	0	3	0	2	8	25	0	2	1	3	8	9	16	4	0	29
Otu00167	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	53	0
Otu00168	0	0	0	1	0	0	0	0	0	0	3	1	1	8	1	1	0	0	0	0
Otu00169	172	2	4	9	0	4	0	0	8	0	8	1	632	0	9	4	0	0	0	0
Otu00170	7	0	0	1	72	0	0	0	15	0	0	2	41	119	11	22	0	0	0	1
Otu00172	0	1	0	32	0	0	22	0	9	135	0	0	0	1	0	0	0	0	0	0
Otu00173	2	0	0	7	15	0	0	0	0	0	12	1	0	22	30	0	0	0	0	0
Otu00174	0	0	0	13	4	0	0	0	0	0	6	0	4	6	0	10	9	0	1	0
Otu00175	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	303	0
Otu00176	0	0	0	0	0	0	0	7	0	0	50	0	0	0	0	0	0	0	0	0
Otu00177	0	0	0	0	0	0	0	30	0	0	0	0	0	0	0	0	0	0	0	0
Otu00178	0	1	0	2	0	0	38	0	0	31	0	0	0	0	0	0	0	0	0	0
Otu00179	0	0	1	0	0	0	0	0	1	0	0	1	0	0	0	82	48	4	1	0
Otu00180	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0
Otu00182	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	44	2	16	0
Otu00183	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	885
Otu00184	0	0	0	0	0	0	0	0	0	0	7	3	0	0	0	4	0	0	2	0
Otu00185	4	1	13	0	42	5	1	1	0	0	0	0	0	0	3	0	0	4	0	0
Otu00187	0	0	0	0	0	0	0	0	0	0	0	0	0	0	64	0	0	0	0	0
Otu00189	0	31	18	4	0	0	3	49	0	1	1	3	102	2	7	0	13	1	6	16
Otu00190	0	0	0	0	0	0	0	0	0	0	55	18	0	24	62	5	0	0	0	0
Otu00191	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	22
Otu00192	0	0	1	1	0	0	0	0	0	0	0	5	19	0	0	9	34	0	0	0
Otu00193	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0
Otu00194	7	0	0	0	4	0	0	0	0	0	0	0	0	0	28	0	0	0	0	0
Otu00196	1	0	11	0	0	16	0	12	0	8	10	0	102	0	2	3	0	0	0	25
Otu00198	0	0	23	0	0	0	1	0	0	0	0	0	32	35	0	0	0	12	0	0
Otu00199	0	0	0	0	0	0	0	5	1	7	0	0	0	0	0	0	1	4	33	11
Otu00200	0	0	3	1	0	1	0	0	0	0	5	6	4	1	6	3	0	0	0	0
Otu00201	1	0	0	0	0	0	3	1	0	13	0	0	0	0	0	0	15	6	131	0
Otu00203	0	1	11	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
Otu00204	22	0	4	0	0	0	0	0	0	0	0	6	0	0	2	0	0	0	10	45
Otu00206	0	0	0	2	0	0	0	0	0	0	0	0	0	0	56	2	0	35	57	0
Otu00207	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	1	0	0	0	0
Otu00208	0	0	0	0	0	0	0	0	0	0	1	22	0	26	47	1	7	0	12	12
Otu00210	1	0	0	6	0	0	16	0	0	3	0	0	0	0	0	0	0	0	0	0
Otu00211	0	0	0	0	0	0	0	0	0	0	0	0	2	0	4	0	1	0	0	0
Otu00213	0	0	0	19	0	0	0	0	0	0	23	13	189	4	0	1	0	0	0	0
Otu00217	0	0	0	0	0	0	0	0	0	0	182	0	0	34	25	0	0	0	0	0
Otu00218	0	99	0	0	7	0	0	0	0	0	0	13	0	2	0	9	0	0	0	0
Otu00221	0	1	0	0	0	0	1	0	0	0	0	151	0	0	0	37	0	0	0	0
Otu00222	23	0	0	1	0	15	0	0	0	0	0	4	0	0	0	0	0	0	0	0
Otu00223	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	1	0	0	0	1
Otu00224	0	0	0	0	0	5	3	1	0	0	5	32	0	7	24	9	0	0	0	0
Otu00225	1	0	4	3	2	0	0	0	14	0	0	11	0	0	0	15	5	0	0	0
Otu00226	0	0	0	4	0	0	2	0	0	0	0	17	9	0	0	0	0	0	0	0
Otu00232	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	4	0
Otu00233	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0
Otu00234	0	1	0	0	0	0	0	348	1	101	0	0	0	0	0	0	0	0	0	0
Otu00235	0	3	0	0	0	0	0	3	0	0	16	0	25	0	6	0	0	5	0	0
Otu00236	19	0	0	0	25	0	0	0	0	0	0	0	17	2	9	4	7	7	0	0
Otu00237	0	0	0	0	0	0	2	0	0	0	1	0	0	0	0	0	0	0	7	0
Otu00238	0	0	9	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Otu00240	0	2	0	7	0	0	0	0	4	0	0	0	138	9	1	3	0	0	0	0
Otu00241	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	57	0	32	0
Otu00243	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0
Otu00245	0	0	8	3	0	0	0	4	33	0	0	0	0	1	20	0	0	0	0	0
Otu00247	0	0	15	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0
Otu00248	0	0	0	1	0	0	0	2	102	1	72	2	10	30	1	8	0	5	32	10
Otu00249	0	0	0	0	4	0	0	0	0	0	0	0	0	20	0	0	0	0	0	0
Otu00250	0	0	1	9	11	50	0	0	0	0	0	2	0	0	0	0	0	0	0	0
Otu00251	0	0	0	0	0	0	16	0	0	0	0	0	26	0	0	0	0	0	0	0
Otu00252	0	0	0	0	0	0	0	0	0	40	0	0	0	0	0	0	0	0	0	0
Otu00255	0	0	0	0	0	0	0	0	0	0	15	0	0	0	0	0	0	120	79	0
Otu00256	0	0	0	0	0	0	0	0	0	20	0	0	0	0	0	0	0	0	0	0
Otu00257	0	51	19	1	0	84	0	0	0	0	0	0	41	0	0	34	0	0	0	0
Otu00259	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0
Otu00260	0	0	0	0	0	0	0	0	0	9	0	0	0	8	0	1	0	0	0	0
Otu00261	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	59	0	0
Otu00262	0	0	0	1	0	0	0	0	0	0	48	6	10	2	21	12	0	0	0	0
Otu00263	0	26	17	17	21	27	0	0	0	0	0	1	0	0	96	1	0	0	11	0
Otu00264	0	0	0	0	0	0	0	0	9	1	0	0	0	0	1	0	0	4	44	0
