OTU_id	F14RootFungi.2p.A5	F14RootFungi.2p.B4	F14RootFungi.2p.C3	F14RootFungi.2p.C5	F14RootFungi.2p.D2	F14RootFungi.H7	F14RootFungi.G3	F14Group.Root123	F14RootFungi.G9	F14RootFungi.H2	F15RootFungi.2p.D4	F15RootFungi.H9	F15RootFungi.2p.A5	F15RootFungi.2p.B4	F15RootFungi.H12	F15RootFungi.H7	F15RootFungi.F11	F15RootFungi.G4	F15RootFungi.G9	F15RootFungi.H2
Otu00176	0	26	0	3	0	0	1	0	130	0	0	0	0	0	2	0	0	0	0	13
Otu00177	0	0	0	0	0	0	0	0	6	4	0	0	0	0	0	0	0	0	0	0
Otu00179	0	0	0	0	0	0	0	0	3	0	0	0	4	0	0	0	0	0	0	0
Otu00182	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	0	0
Otu00184	1	0	0	0	0	0	0	0	0	0	0	0	333	0	0	0	0	0	0	0
Otu00189	0	0	0	0	12	0	0	0	16	0	0	0	0	0	0	0	2	0	1	0
Otu00190	0	0	0	0	0	0	0	0	0	0	0	0	1	4	19	0	0	0	0	0
Otu00192	0	0	0	0	0	0	0	0	0	0	15	1	0	0	23	0	0	0	0	0
Otu00197	0	0	0	0	0	0	1	42	0	871	0	0	0	0	0	0	0	0	0	0
Otu00198	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	29	0	0	0
Otu00199	0	0	0	0	0	0	3	0	1	0	0	0	0	0	0	0	0	0	2	0
Otu00203	2	2	11	170	64	0	0	0	0	0	0	1	22	0	0	0	0	0	0	0
Otu00206	0	62	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	3	0	0
Otu00210	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	0	0	0
Otu00211	0	6	6	0	9	0	0	0	1	0	1	1	3	12	7	22	45	23	7	4
Otu00212	1	3	0	0	1	3	0	0	0	0	2	4	2	18	1	5	3	0	0	1
Otu00216	0	1	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Otu00217	0	0	0	0	0	0	0	0	0	0	37	9	0	0	0	0	0	0	0	0
Otu00220	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0
Otu00222	0	0	133	0	0	6	0	0	0	0	0	106	0	0	0	0	1	0	0	0
Otu00224	0	5	0	0	0	0	0	0	0	0	5	0	0	0	0	1	64	0	0	0
Otu00225	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0
Otu00226	0	0	108	0	0	1	0	0	0	0	1	0	8	0	0	0	0	0	0	0
Otu00234	0	0	0	0	0	0	4	0	2	0	0	0	0	0	0	0	0	0	0	0
Otu00236	0	0	0	0	0	0	0	0	0	0	0	0	0	0	26	0	0	0	0	0
Otu00238	1	3	3	89	47	5	0	0	0	0	0	0	11	7	0	0	1	0	0	0
Otu00240	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	1	0	0	0
Otu00242	0	0	73	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Otu00245	0	0	1	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0	1	0
Otu00247	16	0	0	0	0	0	0	0	0	0	0	0	0	0	54	0	0	0	0	0
Otu00249	0	0	22	3	70	0	0	0	0	0	134	0	0	0	12	0	0	0	0	0
Otu00250	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Otu00251	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12
Otu00253	0	0	0	0	0	0	0	659	0	0	0	1	0	0	0	0	0	0	0	0
Otu00258	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	398	0	0	0
Otu00260	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0
Otu00262	0	14	0	1	0	0	0	0	0	0	0	3	0	0	2	0	0	0	0	0
Otu00264	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0
Otu00266	0	0	9	0	0	0	0	0	0	0	9	0	0	0	18	20	0	0	0	1
Otu00270	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	1	22	10	3
Otu00271	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	31	0	0	0
Otu00272	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	1	17	4	1	0
Otu00276	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0
Otu00280	0	7	0	0	0	0	0	0	0	0	2	0	0	0	5	13	0	0	0	0
Otu00281	0	0	0	0	0	0	0	0	0	0	40	0	0	0	0	0	0	0	0	0
