OTU_id	F14RhizoFungi.2p.A5	F14RhizoFungi.2p.B4	F14RhizoFungi.2p.C3	F14RhizoFungi.2p.C5	F14RhizoFungi.2p.D2	F14RhizoFungi.H7	F14RhizoFungi.G3	F14RhizoFungi.F11	F14RhizoFungi.G9	F14RhizoFungi.H2	F15RhizoFungi.2p.D4	F15RhizoFungi.H9	F15RhizoFungi.2p.A5	F15RhizoFungi.2p.B4	F15RhizoFungi.H12	F15RhizoFungi.H7	F15RhizoFungi.F11	F15RhizoFungi.G4	F15RhizoFungi.G9	F15RhizoFungi.H2
Otu00248	0	6	0	0	2	0	0	5	11	2	13	0	1	0	0	2	4	11	0	0
Otu00249	0	0	0	0	8	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0
Otu00250	0	37	9	7	1	6	0	0	0	0	0	0	0	0	0	366	0	0	0	0
Otu00251	0	0	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Otu00252	0	0	0	0	0	0	6	21	6	0	0	0	0	0	0	0	0	0	0	0
Otu00254	0	0	0	0	0	0	0	0	0	0	0	0	0	132	33	0	0	1	0	0
Otu00255	0	0	0	0	0	0	0	8	0	0	0	1	0	0	0	0	50	6	0	0
Otu00257	12	16	8	2	22	0	0	0	0	0	2	0	0	12	7	0	3	0	0	11
Otu00258	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	374	0	0	0
Otu00260	0	0	0	0	0	0	0	0	0	0	34	3	2	31	2	0	7	0	0	0
Otu00261	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Otu00262	0	5	0	4	0	0	0	0	0	0	1	65	1	4	5	0	0	0	0	0
Otu00263	28	17	11	3	0	6	0	0	0	0	0	0	0	0	0	0	27	0	0	0
Otu00264	0	0	0	0	0	0	0	2	0	21	0	0	0	0	0	0	37	4	1	0
Otu00265	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0
Otu00266	1	0	0	0	0	0	0	0	0	1	9	1	3	11	0	0	0	0	0	0
Otu00269	0	0	2	0	14	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0
Otu00270	0	0	0	0	0	0	4	5	7	9	0	0	0	0	0	0	4	6	32	0
Otu00271	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	231	3	0	0
Otu00272	0	1	0	1	0	0	0	1	1	3	0	2	2	0	3	0	0	14	0	0
Otu00274	0	0	4	0	10	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0
Otu00275	1	0	0	0	9	9	2	0	1	0	0	0	7	18	0	0	0	0	0	0
Otu00276	0	0	0	0	0	2	1	4	0	18	1	0	0	0	0	0	0	30	0	0
Otu00277	0	0	0	0	9	0	0	0	0	0	0	0	0	58	0	0	0	0	2	0
Otu00278	2	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
Otu00280	0	1	0	1	5	1	1	0	0	1	17	0	3	37	4	0	0	0	0	1
Otu00281	0	0	0	0	0	0	0	0	0	0	22	0	0	0	0	0	0	0	0	0
Otu00282	4	4	1	4	1	14	0	4	12	0	0	0	0	3	6	0	0	0	0	0
Otu00283	0	0	0	0	0	0	0	0	9	0	0	1	2	8	2	0	1	2	0	0
Otu00284	0	1	0	0	0	0	7	0	1	1	1	11	3	2	10	0	12	0	3	0
Otu00285	0	0	0	0	0	0	0	0	0	0	0	0	0	20	0	0	0	0	0	0
Otu00286	0	12	1	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Otu00287	0	0	0	0	0	0	0	18	0	36	0	0	0	0	0	0	0	37	0	0
Otu00288	0	0	0	0	0	0	0	0	18	0	0	0	1	7	2	0	0	0	1	0
Otu00290	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	391	0	0	0	0
Otu00291	0	38	0	0	1	0	0	6	11	1	3	0	0	0	0	1	1	2	0	0
Otu00292	2	3	0	0	4	8	0	0	0	0	0	3	1	3	26	0	0	0	0	0
Otu00293	0	0	0	0	0	0	0	0	1	0	0	1	1	0	0	0	10	0	0	1
Otu00294	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	4
Otu00295	2	2	1	2	0	1	8	2	2	0	3	0	5	4	6	0	0	0	0	1
Otu00297	0	0	21	0	1	0	1	0	0	0	0	0	0	12	0	0	0	0	0	0
Otu00298	0	3	0	0	0	6	0	0	0	0	1	0	79	13	25	0	0	0	0	0
Otu00300	0	0	0	0	0	0	0	0	0	0	0	0	0	207	0	0	0	0	0	0
Otu00301	0	0	8	0	0	0	0	0	0	0	0	2	0	0	1	0	0	0	0	0
Otu00302	8	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	26	0
Otu00304	0	3	24	35	31	0	0	0	0	0	0	6	0	0	0	0	1	6	0	0
Otu00305	0	1	0	0	19	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0
Otu00306	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	1	0	7
Otu00307	0	0	0	0	0	0	0	0	0	0	0	0	1	15	0	9	0	0	0	0
Otu00308	10	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0
Otu00310	5	0	0	8	4	0	11	1	2	0	0	0	15	11	0	0	12	0	0	0
Otu00312	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	257	0	0
Otu00313	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0
Otu00314	0	0	0	16	0	0	0	0	0	0	0	0	1	0	23	0	0	0	0	0
Otu00315	0	0	0	0	0	0	2	31	10	4	0	0	0	0	0	0	5	43	1	0
Otu00316	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	13
Otu00318	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0
Otu00319	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	17
Otu00320	0	0	0	0	8	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0
Otu00322	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2	0	0	0	0	0
