OTU_id	F14RootFungi.2p.A1	F14RootFungi.2p.C2	F14RootFungi.2p.C4	F14RootFungi.2p.D3	F14RootFungi.H8	F14RootFungi.H9	F14Group.Root108	F14Group.Root99	F14RootFungi.G10	F14RootFungi.H3	F15RootFungi.2p.B1	F15RootFungi.2p.C2	F15RootFungi.2p.A1	F15RootFungi.2p.B5	F15RootFungi.2p.D3	F15RootFungi.H8	F15Group.Root111	F15Group.Root108	F15RootFungi.G10	F15RootFungi.G5
Otu00110	2	0	0	10	0	1	0	6	32	23	0	0	173	0	0	1	0	0	0	0
Otu00112	0	0	0	0	0	0	0	0	0	0	0	0	53	0	0	0	0	0	11	25
Otu00114	0	0	1	1	0	0	0	0	0	0	0	1	1	0	1	0	0	1	0	0
Otu00115	87	0	3	55	61	2	0	1	0	0	0	46	69	1	12	131	0	0	0	0
Otu00119	1	1	14	5	12	0	45	0	0	0	18	0	0	1	2	0	0	0	0	0
Otu00121	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	1	0
Otu00122	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3
Otu00124	3	0	0	0	0	0	0	119	0	0	0	0	0	112	0	0	0	0	0	0
Otu00126	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0
Otu00127	1	1	26	0	9	47	47	0	0	0	0	0	0	0	0	0	1	0	0	0
Otu00128	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1
Otu00129	0	0	0	0	0	0	0	0	0	0	0	3	0	1	0	0	0	0	0	1
Otu00130	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	35	0
Otu00132	0	1	0	1	0	0	0	0	0	100	0	0	0	0	1	0	0	0	0	1
Otu00134	0	0	0	0	0	0	5	0	22	1	0	0	0	0	0	0	0	0	0	0
Otu00136	0	0	0	1	5	0	0	0	0	0	0	0	0	0	0	23	0	0	0	1
Otu00137	4	1	0	23	1	5	3	19	0	1	0	8	19	5	1	3	1	1	0	1
Otu00138	1	0	0	0	27	10	0	0	0	25	1	0	0	0	0	0	0	0	0	4
Otu00140	0	4	5	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	47
Otu00142	0	0	0	0	0	0	0	0	0	0	0	14	0	0	0	101	0	0	0	0
Otu00143	0	0	0	0	0	1	0	0	0	0	0	3	0	19	9	7	0	0	0	0
Otu00144	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3
Otu00146	5	51	0	0	4	1	22	108	26	0	0	29	1	0	0	3	0	2	0	5
Otu00147	1	0	0	0	0	0	0	1803	0	0	0	0	0	0	0	0	0	0	0	0
Otu00149	0	0	0	0	33	0	0	0	0	2	16	0	11	0	0	37	0	0	0	0
Otu00150	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	1	0	0
Otu00151	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7
Otu00153	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	81	0
Otu00154	1	0	0	0	0	0	744	31	0	0	0	0	0	0	0	0	0	0	0	0
Otu00155	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12
Otu00156	0	6	0	1	0	0	0	0	0	0	0	0	0	0	11	2	0	0	0	0
Otu00157	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	63
Otu00160	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	121
Otu00161	0	0	0	0	0	0	0	0	0	3	0	1	1	0	0	0	1	3	2	12
Otu00162	1	0	0	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	7
Otu00163	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	26
Otu00164	0	0	0	0	0	0	0	8	10	0	0	0	0	11	0	0	0	0	0	35
Otu00165	0	0	0	2	0	0	0	0	0	0	0	1	0	0	0	0	0	23	0	0
Otu00168	0	0	0	0	0	0	10	0	2	0	1	11	31	55	11	27	1	28	0	0
Otu00170	6	0	0	0	0	10	0	0	0	0	0	1	0	0	10	0	0	0	0	0
Otu00172	0	0	0	1	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0
Otu00173	5	7	14	0	0	28	0	0	0	0	0	20	43	0	1	12	0	0	0	0
Otu00174	0	0	2	0	0	1	0	0	0	0	0	0	1	4	0	0	0	1	0	0
Otu00176	0	0	0	0	0	0	0	33	9	10	0	0	0	9	1	0	0	0	0	0
Otu00177	1	0	0	0	1	3	0	37	0	0	0	0	0	0	0	0	0	0	0	0
Otu00182	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	51
Otu00183	0	0	0	0	0	0	0	0	0	0	0	0	0	99	0	0	0	0	0	0
Otu00185	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Otu00187	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	90	0	0	0	85
Otu00189	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13
Otu00190	0	0	0	0	0	0	0	0	0	0	0	6	0	0	14	0	0	0	0	0
Otu00192	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	3	6	1	6
Otu00194	0	7	6	0	0	0	0	0	1	0	0	32	0	1045	0	0	0	0	1	1
Otu00195	0	0	0	0	0	0	0	0	0	0	0	29	0	0	1	0	0	0	0	0
Otu00196	0	0	0	0	0	0	0	0	0	0	0	0	30	0	0	0	0	0	0	0
Otu00197	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14
Otu00198	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0
Otu00199	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	22
Otu00201	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0
Otu00203	1	0	9	13	56	0	7	0	0	0	26	0	0	0	1	0	0	0	0	0
Otu00206	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	23
Otu00208	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	5	0	0
Otu00209	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	6
Otu00211	161	0	2	2	0	2	0	6	32	3	0	38	5	12	4	23	0	24	3	5
Otu00212	34	2	0	3	3	0	6	1	1	0	1	49	10	21	0	12	1	4	0	7
Otu00213	0	4	0	0	0	0	0	0	0	0	0	23	0	0	9	0	0	0	0	0
Otu00214	0	0	0	78	0	0	0	0	0	0	0	309	0	0	0	0	0	0	0	0
Otu00216	0	0	0	0	0	0	1	0	0	6	0	0	0	0	0	0	0	0	0	0
Otu00218	0	0	0	0	0	9	0	0	0	0	8	0	0	0	0	0	0	0	0	0
Otu00220	0	0	0	0	0	0	0	0	0	0	0	1	96	0	0	0	0	0	0	0
Otu00222	0	0	0	0	25	0	0	0	0	8	0	0	0	0	0	28	0	0	0	0
Otu00224	0	0	0	0	0	0	0	0	0	0	0	10	2	0	2	0	0	1	0	0
Otu00225	12	0	0	0	0	0	0	0	29	0	0	0	0	0	0	24	0	0	0	0
Otu00226	0	0	7	0	0	0	22	0	0	0	3	0	0	1	0	0	10	0	0	0
Otu00230	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	100	0
Otu00232	0	0	0	0	0	0	0	0	0	0	0	40	0	0	0	0	0	0	0	0
Otu00234	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	2	0	0
Otu00237	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	7
Otu00238	0	16	0	6	46	6	2	0	1	0	6	0	5	0	6	0	0	0	0	0
Otu00240	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	1	0	0	0
Otu00245	0	0	0	0	0	0	0	31	22	0	0	1	0	0	0	0	0	0	0	10
Otu00247	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	85	0	0	0	0
Otu00249	0	0	49	24	65	3	0	0	1	0	0	0	0	0	52	0	0	0	0	0
Otu00250	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Otu00252	0	0	0	0	0	0	0	54	8	9	1	0	0	0	0	0	0	0	2	0
Otu00260	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9
Otu00262	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0
Otu00263	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	30	0	0	0	0
Otu00265	0	0	0	0	0	0	0	0	0	89	0	0	0	0	0	0	0	0	0	0
Otu00266	0	0	0	0	1	0	0	0	0	0	1	0	0	20	9	0	0	0	0	0
Otu00268	18	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0
Otu00272	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	5
Otu00274	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0
Otu00276	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0
Otu00279	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Otu00280	0	0	0	0	0	0	0	0	0	0	0	6	0	3	0	0	0	0	0	38
Otu00281	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0
Otu00282	9	0	0	0	0	0	0	11	0	0	0	0	0	0	39	0	0	0	0	0
Otu00283	0	0	0	0	0	0	0	0	3	45	0	0	0	0	0	0	0	0	0	0
Otu00284	0	0	0	0	4	0	0	0	0	0	0	14	3	3	2	0	0	0	0	0
Otu00285	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	1	0	0
Otu00286	7	10	0	0	0	49	0	0	0	0	0	0	9	0	0	0	0	0	0	0
Otu00287	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	16
Otu00288	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0
Otu00289	0	0	0	0	0	0	3	0	0	0	0	563	0	0	0	0	0	0	0	0
Otu00292	0	0	0	4	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
Otu00293	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0
Otu00295	1	0	0	0	7	0	0	0	2	1	0	3	3	0	0	3	0	0	0	0
Otu00298	22	0	0	0	0	6	0	0	0	0	0	0	3	0	0	0	0	0	0	0
Otu00299	0	0	0	0	0	0	0	0	0	0	0	0	19	0	0	0	0	0	0	0
Otu00300	0	0	0	0	0	0	0	0	0	0	0	0	0	177	0	0	0	0	0	0
Otu00301	10	0	0	0	4	0	0	0	0	0	0	15	0	51	1	0	0	0	0	0
Otu00303	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	351
Otu00305	0	0	0	0	60	0	0	0	0	0	52	0	0	0	0	0	0	0	0	0
Otu00307	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	8	0	0	0	2
Otu00310	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0
Otu00313	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0
Otu00314	0	0	0	0	0	0	0	0	0	0	0	10	62	0	0	0	0	0	0	0
Otu00315	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10
Otu00317	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0	0
Otu00318	0	0	0	0	0	0	0	0	0	20	0	0	0	0	0	0	5	0	0	11
Otu00320	0	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	0	0	0	14
Otu00321	0	0	9	15	11	21	0	0	0	0	0	0	0	0	12	0	0	0	0	0
Otu00322	0	0	0	0	2	0	0	0	0	0	0	0	0	0	12	1	0	0	0	0
Otu00325	0	0	0	0	0	0	0	0	0	0	40	0	0	0	0	0	0	0	0	0
Otu00326	0	0	21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Otu00328	0	3	0	0	2	0	0	0	0	0	0	29	76	0	0	0	0	0	0	0
Otu00329	204	0	0	0	0	0	0	0	0	0	9	0	0	17	0	0	0	0	0	0
Otu00330	0	0	0	0	0	0	132	0	0	0	0	36	1	0	0	0	0	0	0	0
