OTU_id	F14RhizoFungi.2p.A2	F14RhizoFungi.2p.B1	F14RhizoFungi.2p.B5	F14RhizoFungi.2p.B6	F14RhizoFungi.2p.D4	F14RhizoFungi.H12	F14RhizoFungi.G8	F14RhizoFungi.G4	F14RhizoFungi.G2	F14RhizoFungi.G5	F15RhizoFungi.2p.A2	F15RhizoFungi.2p.B6	F15RhizoFungi.2p.C5	F15RhizoFungi.2p.C3	F15RhizoFungi.2p.D2	F15RhizoFungi.2p.C4	F15Group.Rhizo131	F15Group.Rhizo99	F15RhizoFungi.G3	F15RhizoFungi.G8
Otu00353	0	0	0	0	0	0	0	0	0	0	0	1	4	0	0	0	0	14	0	0
Otu00355	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	15	0	0
Otu00356	0	6	0	0	13	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0
Otu00357	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	1	0	0	2
Otu00359	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3
Otu00360	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	135
Otu00361	0	0	0	0	10	0	0	0	0	0	0	0	0	0	52	0	0	0	0	0
Otu00362	0	0	0	0	0	0	0	0	108	0	0	0	0	0	0	0	0	0	0	0
Otu00363	1	2	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Otu00364	0	0	0	0	0	0	0	0	0	0	0	36	0	0	0	0	0	0	0	1
Otu00366	12	0	0	0	0	37	0	0	16	0	0	7	1	0	0	0	4	4	9	0
Otu00367	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0
Otu00370	0	0	0	0	0	0	0	0	0	0	0	0	0	3	2	0	0	0	0	0
Otu00371	0	0	1	0	0	0	2	17	13	0	0	10	0	0	7	2	9	0	6	0
Otu00373	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	11	0	1
Otu00374	0	5	0	0	0	0	0	0	0	0	9	0	3	5	25	1	0	1	0	0
Otu00375	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	1	0
Otu00376	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	10	0
Otu00377	0	0	0	0	0	0	0	0	0	0	37	0	268	0	0	0	0	0	0	0
Otu00378	2	3	1	0	4	0	4	0	2	1	9	3	0	2	3	12	1	2	3	4
Otu00379	13	1	13	0	6	10	0	0	1	0	9	6	4	22	7	0	0	0	0	0
Otu00380	0	0	3	0	1	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Otu00382	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0
Otu00383	0	0	0	0	0	0	0	0	0	0	0	47	0	0	0	3	0	0	0	0
Otu00384	0	9	0	0	0	0	0	0	0	0	0	0	8	0	0	6	0	0	0	0
Otu00386	0	0	0	0	1	0	11	1	0	0	0	0	0	0	0	0	0	0	0	0
Otu00387	0	0	0	0	0	0	9	0	0	0	0	0	1	0	0	0	0	5	2	14
Otu00388	1	0	0	0	0	1	4	0	1	0	0	0	0	0	0	0	12	0	6	0
Otu00389	0	0	0	0	0	0	0	0	0	0	19	4	2	0	69	2	0	0	0	0
Otu00391	0	0	0	0	0	0	14	12	1	12	1	0	0	0	0	0	0	0	1	45
Otu00392	0	1	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0
Otu00395	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	230	0	0
Otu00396	2	0	0	0	1	8	0	0	0	1	1	13	1	20	11	0	2	0	1	0
Otu00397	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Otu00398	2	0	0	0	0	0	0	1	0	0	26	1	11	40	1	3	0	3	0	0
Otu00399	0	0	0	0	0	0	72	0	68	0	0	0	0	0	0	0	0	1	0	0
Otu00400	9	0	0	0	0	2	0	0	0	0	3	0	0	0	0	8	0	0	0	0
Otu00401	0	0	0	0	0	0	0	0	0	0	0	1	0	13	0	0	0	3	0	0
Otu00403	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0	1	0	0
Otu00404	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0
Otu00405	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Otu00412	0	0	14	0	0	27	0	2	0	0	0	0	0	0	0	4	0	0	9	0
Otu00413	10	0	0	0	0	0	1	0	0	0	0	0	0	0	0	16	9	0	0	0
Otu00415	0	20	1	0	0	0	5	64	0	0	0	0	0	0	1	0	0	0	10	0
Otu00418	0	0	0	0	0	0	0	0	5	0	11	0	0	0	0	0	0	0	0	0
Otu00419	0	0	0	0	0	0	4	25	11	1	2	15	0	3	0	1	3	0	1	2
Otu00422	3	0	12	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Otu00423	0	0	0	0	0	0	0	0	0	0	0	2	0	1	0	0	0	0	0	0
Otu00424	0	0	0	0	0	0	1	0	0	0	0	0	0	2	0	39	0	0	0	0
Otu00426	0	0	2	0	0	0	6	0	2	0	2	0	0	0	10	1	13	13	14	0
Otu00427	0	0	1	0	2	3	7	0	9	0	0	20	1	1	0	3	11	0	6	4
Otu00428	0	0	5	12	0	0	0	0	0	0	0	10	0	0	0	0	7	0	6	0
Otu00429	0	0	0	0	0	0	0	0	0	0	0	0	0	1	50	0	0	0	0	0
Otu00430	12	0	26	0	0	0	0	0	0	2	0	0	0	0	0	0	0	38	2	0
Otu00431	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0
Otu00432	1	0	0	2	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
Otu00433	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0
Otu00435	0	0	0	0	0	0	7	39	0	39	0	0	0	0	0	0	9	0	0	0
Otu00436	5	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Otu00437	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	8	0
Otu00438	0	0	32	0	0	0	0	0	0	0	0	0	0	0	15	3	0	0	3	0
Otu00442	1	0	0	0	0	2	0	0	0	0	0	0	0	5	0	0	0	0	0	0
Otu00444	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	33	2	0
Otu00446	0	0	0	0	0	0	1	0	0	0	0	0	0	0	29	0	0	0	0	0
Otu00447	0	0	0	0	0	8	0	0	0	0	0	11	0	0	0	0	3	0	28	0
Otu00448	0	0	0	23	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
Otu00449	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0
Otu00450	1	0	0	1	0	6	0	0	0	0	1	1	0	3	0	0	0	21	0	0
Otu00451	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0
Otu00452	0	0	0	0	0	0	0	0	0	52	1	0	1	0	0	0	0	0	0	0
Otu00453	0	0	7	0	2	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0
Otu00454	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Otu00456	0	0	0	0	0	0	0	0	0	0	0	0	0	9	12	0	0	0	0	0
Otu00457	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	50	0	21	0
Otu00459	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0
Otu00462	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20	0	0	0	0	0
Otu00464	1	3	0	2	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0
Otu00466	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0
Otu00467	0	0	1	0	0	0	3	0	24	6	0	1	0	0	0	0	15	0	32	13
Otu00468	0	0	0	0	2	0	0	3	3	0	0	10	0	0	0	6	1	0	18	9
Otu00469	3	3	1	0	0	0	0	0	0	0	4	6	0	11	1	0	0	0	0	0
Otu00470	2	0	0	0	0	42	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Otu00471	0	0	0	0	0	0	0	0	0	0	0	0	2	165	0	0	0	0	0	0
Otu00473	0	2	0	0	0	0	0	0	0	0	17	0	0	1	0	0	0	0	0	0
Otu00474	0	0	0	0	1	0	0	0	0	0	0	0	1	0	4	0	0	0	0	0
Otu00475	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	39	0	0
Otu00476	0	0	0	0	0	0	0	0	0	0	4	0	0	6	0	0	0	0	0	0
Otu00478	2	1	1	0	3	9	2	0	15	3	4	5	0	6	5	18	0	0	0	0
Otu00479	16	0	0	0	0	0	1	0	5	0	0	0	0	0	0	0	0	0	0	0
Otu00481	0	0	2	0	0	0	0	0	0	0	0	2	0	1	0	0	0	0	0	0
Otu00483	0	0	0	0	0	0	12	2	11	0	0	0	0	0	0	1	0	0	0	0
Otu00484	0	0	0	0	0	7	0	0	0	0	49	0	0	0	0	0	0	0	0	0
Otu00485	0	0	0	0	0	5	4	0	0	1	0	1	0	0	0	6	0	0	2	4
Otu00486	0	0	0	10	0	0	0	0	0	0	0	0	0	11	15	0	0	0	0	0
Otu00487	0	0	0	0	4	0	0	5	4	0	0	0	0	0	0	0	0	0	2	0
Otu00488	0	0	0	0	0	0	0	0	0	0	0	0	2	3	0	0	0	29	0	0
Otu00489	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	25	0	7	10
Otu00490	1	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Otu00491	0	0	0	0	0	0	11	0	8	3	0	0	0	0	0	0	23	3	0	0
Otu00492	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0
Otu00494	0	1	4	0	0	2	0	0	0	0	1	1	1	3	3	0	2	1	0	0
Otu00495	2	1	2	0	0	0	0	7	0	1	3	0	0	0	0	0	0	0	0	1
Otu00501	0	0	1	1	0	6	3	0	0	0	1	0	0	0	0	0	0	0	13	0
Otu00504	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0
Otu00505	0	0	3	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0
Otu00506	0	0	0	0	0	0	0	11	0	2	0	0	0	0	0	0	0	0	0	0
Otu00508	0	0	0	0	0	0	3	4	0	0	0	0	0	0	0	0	0	0	0	0
Otu00509	0	0	0	0	0	0	6	1	112	0	0	0	0	0	0	0	3	2	5	0
Otu00511	0	0	0	0	0	0	0	0	0	1	0	0	0	0	19	0	0	0	0	0
Otu00512	0	11	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	97
Otu00513	0	0	5	0	2	1	0	0	0	0	0	6	0	6	18	0	0	0	0	0
Otu00515	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	1	0	0	0	0
Otu00517	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	62	0	0	0	0
Otu00518	0	0	0	0	5	0	0	0	0	0	0	0	0	0	40	0	0	0	0	0
Otu00519	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0
Otu00521	0	0	0	0	0	0	15	29	14	0	0	0	0	0	0	0	0	43	19	0
Otu00523	0	0	0	1	0	1	0	0	0	2	0	1	0	2	0	0	0	3	0	0
Otu00524	0	0	0	0	0	0	0	1	9	1	0	0	0	0	0	0	0	0	0	0
Otu00526	0	3	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Otu00529	0	0	0	0	0	0	0	0	0	0	0	0	211	0	0	0	0	0	0	0
Otu00530	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	45
Otu00531	0	0	0	0	0	0	0	0	31	0	0	0	0	0	0	0	0	0	0	0
Otu00532	1	0	4	1	5	10	2	1	1	0	0	1	0	0	0	5	0	0	0	1
Otu00533	0	1	2	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0
Otu00537	0	0	0	0	1	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0
Otu00543	0	18	0	0	3	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0
Otu00544	0	1	7	0	0	0	0	4	0	0	0	0	0	0	0	0	0	25	0	0
Otu00553	0	0	0	0	0	0	0	0	0	0	0	0	0	3	5	0	0	0	0	0
Otu00554	1	0	0	0	0	0	2	0	0	0	1	0	3	1	0	13	0	1	0	0
Otu00555	0	0	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Otu00556	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	34	0	0	0
Otu00559	0	0	3	0	0	0	9	0	11	0	24	17	0	0	0	0	0	0	1	1
Otu00563	0	3	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Otu00565	0	0	0	0	0	0	0	0	4	0	1	0	4	1	0	1	9	0	0	0
Otu00568	0	0	0	0	0	0	0	65	9	20	6	0	25	0	0	0	4	0	0	6
Otu00569	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	9	0
Otu00571	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	0
Otu00572	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Otu00574	15	0	32	0	6	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Otu00575	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0
Otu00576	0	0	0	0	0	0	0	0	0	0	0	22	0	0	0	0	0	0	0	0
Otu00578	0	0	0	0	0	0	0	0	0	0	16	0	0	3	0	0	1	0	0	0
Otu00579	0	2	0	0	1	0	6	2	0	0	0	0	2	0	2	7	2	0	10	0
Otu00580	6	0	0	0	1	5	0	0	0	0	0	0	0	0	0	0	0	0	2	0
Otu00584	0	0	8	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0
Otu00587	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	36	0	0	0
Otu00589	0	38	0	13	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Otu00590	0	0	0	0	0	0	0	0	2	0	0	0	6	0	2	2	0	0	0	0
Otu00591	0	0	0	0	0	0	0	3	0	2	0	0	0	2	0	2	0	0	0	0
Otu00592	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	2	0	76	5	0
Otu00593	0	0	0	0	0	0	0	0	0	0	0	164	0	0	0	3	0	0	0	0
Otu00595	0	0	3	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0
Otu00598	0	0	0	0	0	1	0	0	0	0	0	0	62	20	0	3	0	0	0	0
Otu00601	0	0	0	0	0	0	0	0	0	18	0	0	5	0	12	4	0	0	0	0
Otu00603	2	0	1	1	2	3	0	1	0	1	2	1	0	1	0	0	0	2	0	0
Otu00604	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0
Otu00605	0	0	3	0	0	0	0	0	0	0	0	2	0	0	8	0	0	0	0	0
Otu00607	0	0	0	1	0	0	0	0	0	0	3	4	5	2	1	2	1	0	0	0
Otu00609	0	0	0	1	1	0	3	0	1	0	0	2	0	0	0	0	6	4	22	0
Otu00610	0	1	3	0	0	2	0	1	0	0	0	3	0	0	1	0	0	0	2	0
Otu00613	0	0	0	0	0	1	14	3	4	3	0	0	0	0	0	0	0	0	16	8
Otu00614	0	0	0	0	0	13	3	0	8	0	0	0	0	0	0	0	0	0	0	0
Otu00616	0	0	0	0	0	1	1	4	3	1	0	0	0	0	0	0	0	0	9	0
Otu00617	0	0	6	0	1	1	0	1	0	0	4	0	1	0	4	2	0	0	0	0
Otu00618	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	76	0	0	0	1
Otu00620	0	0	0	1	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0
Otu00627	0	1	1	4	3	4	0	0	0	0	5	1	2	1	1	1	0	0	0	0
Otu00628	0	0	0	0	0	0	0	0	0	0	5	0	0	0	1	0	0	0	0	0
Otu00630	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0
Otu00631	1	0	2	0	3	3	0	0	0	0	1	3	1	14	11	2	0	0	0	0
Otu00632	0	0	1	0	0	0	0	0	0	0	3	0	0	0	10	1	3	0	0	0
Otu00633	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	11	0	6
Otu00635	0	0	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0
Otu00636	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0
Otu00637	0	0	0	0	0	0	6	46	20	0	0	0	0	0	0	1	0	0	2	0
Otu00638	0	0	0	0	0	79	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Otu00640	0	0	0	0	0	0	0	0	0	0	0	3	10	1	0	0	0	0	0	0
Otu00641	0	0	0	0	0	0	0	0	0	0	0	2	30	5	0	2	0	0	0	0
Otu00642	0	0	0	0	0	0	0	0	22	0	1	0	0	0	0	0	0	0	0	0
Otu00643	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	36	0	0	0
Otu00644	0	0	4	1	0	6	10	0	37	0	0	0	0	0	0	0	0	0	0	0
Otu00646	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	15	0	0	0
Otu00649	0	0	2	0	0	0	0	0	0	0	1	1	5	7	0	7	1	0	0	0
Otu00650	0	0	0	0	0	0	0	0	0	0	9	0	0	7	2	0	0	0	0	0
Otu00651	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0
Otu00653	0	3	5	0	2	5	0	0	0	0	6	2	1	2	14	1	0	0	0	0
Otu00654	5	0	0	10	0	2	0	0	0	0	0	1	0	2	0	0	0	0	0	0
Otu00655	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0
Otu00656	0	0	0	0	0	0	27	0	0	0	0	0	0	0	0	0	7	7	9	0
Otu00660	0	0	0	0	2	0	0	0	0	0	3	0	0	0	0	0	4	0	0	0
Otu00663	83	0	0	0	0	14	0	0	28	0	0	0	0	0	0	0	0	0	0	0
Otu00666	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	4	0	14	0
Otu00668	0	0	4	0	0	4	4	0	3	0	0	0	0	0	0	0	0	0	6	0
Otu00669	0	0	0	0	0	2	0	2	1	0	0	0	0	0	0	0	0	0	0	0
Otu00672	0	0	0	0	0	0	0	0	0	0	128	0	0	0	0	0	0	0	0	0
Otu00675	0	0	0	0	0	0	0	0	0	0	0	1	0	20	1	0	0	0	0	0
Otu00678	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Otu00679	0	0	0	0	0	0	1	0	0	0	6	0	1	4	0	2	0	0	0	0
Otu00680	0	0	0	0	0	0	0	0	4	2	0	0	0	0	0	0	0	0	0	0
Otu00681	69	12	0	0	0	19	0	0	15	0	0	0	0	0	0	0	0	0	0	0
Otu00682	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	3	0
Otu00683	0	0	2	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	1	0
Otu00685	1	0	1	0	0	0	0	0	0	0	0	9	0	4	0	0	0	0	0	0
Otu00686	0	0	0	0	0	0	11	7	4	2	0	0	0	0	0	0	0	6	2	3
Otu00689	0	0	0	0	0	0	3	11	0	0	0	0	1	0	0	0	0	0	0	0
Otu00691	0	0	0	0	4	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0
Otu00692	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17	0	0	0	3	0
Otu00693	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0
Otu00694	0	0	0	0	0	0	0	2	7	0	0	2	0	0	0	0	0	0	0	0
Otu00696	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	46	0	1	20
Otu00697	1	0	7	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	2	0
Otu00698	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0
Otu00699	0	0	0	0	0	0	0	0	0	0	1	0	0	1	9	0	0	0	0	0
Otu00702	0	0	0	0	1	0	1	6	2	0	0	0	0	0	2	0	0	0	0	0
Otu00705	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	21
Otu00706	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	7
Otu00709	0	0	0	9	0	1	0	0	0	0	0	0	0	0	5	0	0	0	0	0
Otu00711	0	0	0	0	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0
Otu00712	0	0	0	0	0	4	0	0	3	0	0	0	0	0	0	0	0	0	0	0
Otu00713	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	73	0
Otu00718	0	0	9	0	1	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0
Otu00720	0	0	0	0	0	0	0	0	0	0	36	0	0	0	0	0	0	0	0	0
Otu00721	5	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	13	0
Otu00723	0	0	2	0	1	1	0	0	0	0	3	0	0	2	0	0	0	0	0	0
Otu00724	0	0	5	0	0	0	0	0	0	0	4	1	3	1	0	1	0	0	0	0
Otu00726	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0
Otu00732	0	0	106	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Otu00733	0	1	1	1	0	0	2	6	0	1	1	0	0	1	0	0	1	0	0	0
Otu00736	0	0	0	0	0	0	0	1	0	0	1	1	0	0	1	1	0	2	3	2
Otu00741	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	3	0	0
Otu00742	0	0	0	0	0	0	0	0	0	0	0	2	0	6	0	2	0	0	0	0
Otu00743	0	0	0	0	0	1	0	0	0	0	0	3	0	0	0	0	0	0	1	2
Otu00744	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0
Otu00745	0	2	1	0	0	0	0	0	0	0	0	2	2	0	1	0	0	1	0	0
Otu00746	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	18
Otu00748	0	12	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Otu00752	0	0	0	0	0	0	1	0	0	0	2	2	0	0	0	0	1	5	4	2
Otu00757	0	0	0	8	0	0	1	0	0	0	0	0	0	0	5	0	0	0	0	0
Otu00760	0	5	0	0	0	0	4	0	0	0	0	0	0	0	0	0	3	2	1	4
Otu00761	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0
Otu00762	0	1	2	0	1	2	0	0	1	0	0	0	0	2	3	0	0	0	0	0
Otu00763	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0
Otu00765	0	0	0	0	0	0	4	1	10	0	0	0	0	0	0	0	0	0	6	0
Otu00766	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	1	0	0	0
Otu00769	0	0	0	0	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0
Otu00773	0	0	0	0	0	0	0	25	0	0	0	0	0	0	0	0	0	0	0	0
Otu00775	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
Otu00776	0	0	0	0	0	5	2	0	0	0	0	0	0	0	0	0	0	0	3	0
Otu00777	0	0	0	0	0	0	0	0	0	10	0	1	0	0	0	0	0	0	0	0
Otu00778	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	2	9	0
Otu00780	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0
Otu00782	0	0	0	0	1	0	0	0	0	0	0	15	0	3	1	12	0	0	1	0
Otu00789	0	0	2	0	0	0	0	0	3	2	0	0	0	0	0	0	1	0	0	0
Otu00790	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	0	0	10
Otu00791	0	1	0	0	0	0	2	0	0	0	0	0	0	0	0	0	1	0	0	0
Otu00797	0	1	2	0	1	0	0	0	3	0	0	1	0	0	0	0	0	1	5	0
Otu00798	0	0	0	0	3	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0
Otu00803	0	1	0	0	0	0	0	0	0	0	0	0	0	6	0	5	0	0	0	0
Otu00804	1	0	0	0	0	2	0	0	0	0	0	0	3	9	0	0	0	0	0	0
Otu00805	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0
Otu00806	4	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
Otu00808	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	21	0	0	0
Otu00809	0	0	0	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Otu00810	1	2	1	0	1	0	0	0	0	0	0	0	5	0	0	1	1	1	0	0
Otu00815	0	0	0	1	0	1	0	2	0	0	1	0	0	1	0	0	0	0	0	0
Otu00816	0	0	0	0	0	0	0	0	0	0	0	0	8	0	14	0	0	0	0	0
Otu00823	0	0	0	0	0	0	22	0	4	0	0	0	0	0	0	0	14	0	0	0
Otu00824	8	0	7	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Otu00825	0	0	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Otu00828	0	1	0	0	1	1	0	0	0	0	10	0	1	2	2	0	0	0	0	0
Otu00830	0	0	0	0	0	8	0	0	6	0	0	0	0	0	0	0	0	0	4	0
Otu00831	9	0	0	0	0	0	0	20	2	0	0	0	0	0	0	0	0	0	5	0
Otu00832	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0
Otu00833	0	0	31	0	0	0	3	0	3	0	0	0	0	0	0	0	0	0	0	1
Otu00834	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	10	0	5	0
Otu00835	2	1	1	9	4	0	0	0	0	0	0	1	5	1	0	3	0	0	0	0
Otu00839	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	43	0	0
Otu00840	1	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	41	0	0	0
Otu00841	1	0	0	0	0	0	0	0	0	2	0	0	0	0	0	2	0	0	0	0
Otu00842	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	26	0	0
Otu00844	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	1
Otu00845	0	0	0	5	0	0	0	0	0	0	15	0	0	0	0	0	0	0	3	0
Otu00846	0	0	0	0	0	0	1	0	1	0	0	0	0	1	1	1	0	2	1	0
Otu00849	0	0	0	0	0	0	2	0	4	0	0	0	0	0	0	0	0	0	0	0
Otu00851	0	0	0	0	0	0	9	0	0	5	0	0	0	0	0	0	0	32	0	0
Otu00854	0	0	0	0	0	0	0	0	0	1	3	0	0	63	0	0	0	1	0	0
Otu00857	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0
Otu00859	0	2	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Otu00861	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	9	0	0	0	0
Otu00862	0	0	0	0	0	0	0	0	0	0	0	0	0	0	31	0	0	0	0	0
Otu00866	4	0	4	0	0	0	0	0	0	0	29	0	0	0	0	0	0	0	0	0
Otu00867	0	0	0	0	0	0	0	0	0	0	0	0	9	2	0	0	0	1	0	0
Otu00873	4	0	0	0	0	0	0	0	0	0	0	0	9	0	3	0	0	0	0	0
Otu00874	0	0	1	0	0	3	0	0	0	0	2	4	0	0	4	0	0	0	0	0
Otu00876	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	14	0	31
Otu00877	0	0	0	0	0	0	0	0	0	0	0	0	77	0	0	0	0	0	0	0
Otu00879	0	0	4	0	0	0	0	0	0	0	7	0	5	0	20	0	0	0	0	0
