OTU_id	F14RhizoFungi.2p.A2	F14RhizoFungi.2p.B1	F14RhizoFungi.2p.B5	F14RhizoFungi.2p.B6	F14RhizoFungi.2p.D4	F14RhizoFungi.H12	F14RhizoFungi.G8	F14RhizoFungi.G4	F14RhizoFungi.G2	F14RhizoFungi.G5	F15RhizoFungi.2p.A2	F15RhizoFungi.2p.B6	F15RhizoFungi.2p.C5	F15RhizoFungi.2p.C3	F15RhizoFungi.2p.D2	F15RhizoFungi.2p.C4	F15Group.Rhizo131	F15Group.Rhizo99	F15RhizoFungi.G3	F15RhizoFungi.G8
Otu00058	0	0	0	0	0	0	0	0	0	0	0	2	1	1	1	0	0	0	0	0
Otu00059	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	48	7	5
Otu00060	0	0	1	0	1	4	22	47	29	1	4	2	0	3	0	0	46	0	14	11
Otu00061	2	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Otu00062	0	2	0	0	0	0	0	0	0	0	0	3	0	1	0	0	0	0	0	0
Otu00063	0	0	0	0	0	0	20	28	6	51	0	0	0	0	0	0	470	196	93	47
Otu00064	19	2	13	12	9	32	1	3	0	38	117	19	1	0	89	0	12	18	2	0
Otu00065	0	0	0	0	0	0	8	0	2	13	0	0	0	0	0	1	0	0	1	0
Otu00067	0	0	0	0	0	0	0	0	0	0	1	0	0	0	58	4	3	0	0	0
Otu00069	0	0	0	0	0	1	2	0	486	0	0	0	0	0	0	0	20	29	34	3
Otu00070	0	9	3	0	0	1	0	0	0	0	0	2	104	0	0	0	0	0	0	0
Otu00072	1	0	0	1	1	0	1	0	0	0	20	1	0	10	0	0	0	3	0	1
Otu00073	0	0	0	0	0	0	0	50	124	0	0	1	0	0	0	0	0	0	0	0
Otu00074	0	0	0	0	0	0	1	0	0	1	0	1	0	0	0	0	0	0	0	0
Otu00075	0	0	0	0	0	0	0	5	0	1	65	10	2	3	4	4	10	0	25	30
Otu00076	9	1	11	2	12	38	2	0	0	2	7	12	17	33	9	91	2	9	6	0
Otu00077	12	0	226	6	18	1	1	0	0	0	5	4	34	0	0	6	0	27	1	0
Otu00078	3	4	58	0	0	9	114	11	5	12	4	11	9	21	400	13	12	26	56	3
Otu00079	0	1	5	0	4	11	0	0	26	0	1	3	7	0	0	10	1	3	554	52
Otu00080	6	0	1	1	8	3	0	5	2	0	42	439	4	115	23	154	0	1	0	0
Otu00082	81	0	0	0	0	0	0	0	0	0	17	0	0	0	0	0	0	0	0	0
Otu00083	0	0	0	0	0	0	2	0	17	0	6	5	35	12	29	406	0	0	22	19
Otu00084	0	0	0	6	4	0	0	0	65	5	1	0	0	0	4	4	56	0	14	0
Otu00085	2	0	0	0	0	0	21	0	0	45	0	0	0	0	0	1	0	89	6	0
Otu00086	0	0	0	0	66	0	0	0	0	0	5	0	16	4	162	9	0	0	0	0
Otu00088	0	151	0	0	81	0	0	0	1	0	0	30	0	0	18	0	0	0	7	4
Otu00089	37	0	0	0	0	1	0	0	0	0	0	1	0	0	0	2	0	0	0	0
