OTU_id	F14RootFungi.2p.A4	F14RootFungi.2p.A6	F14RootFungi.2p.B3	F14RootFungi.2p.D1	F14RootFungi.2p.D6	F14RootFungi.H11	F14Group.Root111	F14RootFungi.G12	F14RootFungi.G7	F14RootFungi.H5	F15RootFungi.2p.A4	F15RootFungi.2p.B3	F15RootFungi.2p.D1	F15RootFungi.2p.D6	F15RootFungi.H11	F15RootFungi.2p.A6	F15RootFungi.G12	F15RootFungi.G2	F15RootFungi.G7	F15RootFungi.H5
Otu00242	0	4	0	1	0	0	0	0	0	0	0	0	24	0	0	0	0	0	0	0
Otu00243	1	0	0	0	0	0	743	0	0	0	0	0	0	0	0	0	0	0	0	0
Otu00245	0	0	0	0	0	0	0	0	0	0	42	0	0	0	0	0	0	0	1	0
Otu00247	28	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Otu00248	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6
Otu00249	0	0	0	17	19	0	0	0	0	0	0	0	0	68	0	0	0	0	0	0
Otu00252	0	0	0	0	0	1	0	62	0	73	0	0	0	0	0	1	0	0	0	0
Otu00253	0	0	1	0	0	0	9	0	0	1	0	0	0	0	0	0	18	0	0	0
Otu00254	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0
Otu00255	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17	0	0
Otu00256	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0
Otu00262	0	2	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
Otu00263	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Otu00264	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	61	0
Otu00265	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	4	1	0
Otu00266	0	0	0	3	0	0	1	0	0	1	0	2	2	9	0	2	0	0	1	0
Otu00267	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0
Otu00268	63	0	0	0	607	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
Otu00270	0	0	0	0	0	0	0	62	3	0	0	0	0	0	0	0	5	0	4	0
Otu00271	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0
Otu00272	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	11	0
Otu00275	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3
Otu00280	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	1	0	0	0
Otu00281	0	0	0	0	0	0	0	0	0	0	405	0	0	0	0	0	0	0	0	0
Otu00282	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0
Otu00283	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	14	0	0	0
Otu00284	0	0	0	0	0	0	0	0	0	0	0	0	0	2	13	0	0	0	0	0
Otu00285	0	0	0	0	0	0	0	0	0	0	0	0	36	0	0	0	0	0	0	0
Otu00286	0	0	1	1	1	0	0	0	0	0	0	0	7	6	0	0	1	0	1	0
Otu00287	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	21
Otu00288	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	2
Otu00291	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	34
Otu00293	0	0	0	0	0	0	8	4	0	0	0	0	0	0	0	0	0	0	0	0
Otu00295	0	1	0	1	0	1	1	0	0	0	1	0	0	2	0	0	2	0	6	3
Otu00298	0	2	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Otu00299	0	14	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Otu00301	61	0	2	0	0	0	0	0	0	0	70	0	0	0	32	1	0	0	0	0
Otu00302	0	12	1	0	1	0	8	0	0	2	0	0	0	0	0	0	2	0	1	0
Otu00303	0	0	0	0	0	0	0	0	57	11	0	0	0	0	0	0	0	4	14	0
Otu00304	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	2	0	7
Otu00305	0	2	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0
Otu00307	0	0	0	0	0	0	0	0	0	0	32	0	25	0	72	4	32	0	21	7
Otu00310	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	9	2
Otu00314	28	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
Otu00315	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	2	4	0
Otu00316	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	10
Otu00318	0	0	0	0	0	0	0	0	0	152	0	0	0	0	0	0	0	0	0	0
Otu00320	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	8	60	0
Otu00321	0	0	0	23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Otu00322	0	0	0	0	0	0	0	0	0	0	261	0	0	15	0	0	0	0	0	0
Otu00325	0	0	0	0	0	0	0	0	0	0	0	12	0	5	0	0	0	0	0	0
Otu00329	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	4	0	4
